,Gross Domestic Product,Gross Domestic Product
,Current U.S. dollars (billions),Current U.S. dollars (billions)
,Puerto Rico,USVI
1960,1.6919,
1961,1.8651,
1962,2.0944,
1963,2.3336,
1964,2.5705,
1965,2.8815,
1966,3.1705,
1967,3.5327,
1968,3.9417,
1969,4.4607,
1970,5.0347,
1971,5.6468,
1972,6.3289,
1973,7.0024,
1974,7.6848,
1975,8.1983,
1976,8.9686,
1977,9.9109,
1978,11.165,
1979,12.75,
1980,14.4361,
1981,15.9557,
1982,16.7642,
1983,17.2766,
1984,19.1626,
1985,20.2892,
1986,22.0093,
1987,24.0258,
1988,26.3858,
1989,28.1612,
1990,30.603919,
1991,32.287031,
1992,34.63043,
1993,36.922456,
1994,39.69063,
1995,42.647331,
1996,45.340835,
1997,48.187039,
1998,54.0864,
1999,57.841,
2000,61.7018,
2001,69.2084,
2002,71.6235,3.262
2003,74.8274,3.443
2004,80.322313,3.797
2005,83.9145213,4.428
2006,87.2761644,4.484
2007,89.5241316,4.784
2008,93.6393,4.244
2009,96.3856,4.201
2010,98.3813,4.324
2011,100.3517,4.223
2012,101.5648,4.089
2013,102.45,3.738
2014,102.4458,3.565
2015,103.3755,3.663
2016,104.3367,3.798
2017,103.4455,3.794
2018,100.9581,3.923
2019,105.1264,4.121
2020,103.1309,4.229
2021,106.4266,4.507
2022,113.5672,
2023,117.9023,
